"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","도로명주소코드","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"8127","1171000000","94","서울특별시","송파구","잠실고등학교 운동장","1171010200100170001000427","1171010200","1171069000","서울특별시 송파구 신천동 17-1","4778","127.106165","37.522223","209384.868591","546975.920567"
"8128","1171000000","44","서울특별시","송파구","잠현초등학교 운동장","1171010200100170002000017","1171010200","1171069000","서울특별시 송파구 신천동 17-2","1574","127.104815","37.522023","209265.589228","546953.593018"
"8129","1171000000","73","서울특별시","송파구","잠실중학교 운동장","1171010200100070001000271","1171010200","1171071000","서울특별시 송파구 신천동 7-1","6556","127.099454","37.517136","208792.247913","546410.704631"
"8130","1171000000","45","서울특별시","송파구","잠동초등학교 운동장","1171010200100070002000132","1171010200","1171071000","서울특별시 송파구 신천동 7-2","2947","127.100116","37.517983","208850.665736","546504.693649"
"8131","1171000000","74","서울특별시","송파구","아주중학교 운동장","1171010100101150000000102","1171010100","1171072000","서울특별시 송파구 잠실동 115-0","7279","127.075963","37.504820","206716.603967","545041.773252"
"8132","1171000000","46","서울특별시","송파구","아주초등학교 운동장","1171010100101150000000096","1171010100","1171072000","서울특별시 송파구 잠실동 115-0","6938","127.075559","37.505524","206680.846801","545119.882593"
"8133","1171000000","76","서울특별시","송파구","정신여자중학교 운동장","1171010100100500004000119","1171010100","1171072000","서울특별시 송파구 잠실동 50-4","10092","127.072170","37.509959","206380.789875","545611.884072"
"8134","1171000000","104","서울특별시","송파구","정신여자고등학교운동장","1171010100100500004000123","1171010100","1171072000","서울특별시 송파구 잠실동 50-4","10092","127.072213","37.509907","206384.581487","545606.159364"
"8135","1174000000","113","서울특별시","강동구","강일고등학교운동장","1174011000106850001000002","1174011000","1174051500","서울특별시 강동구 강일동 685-1","4274","127.177416","37.564175","215674.658945","551641.554808"
"8136","1174000000","115","서울특별시","강동구","강동중학교운동장","1174011000103470003022055","1174011000","1174051500","서울특별시 강동구 강일동 669-0","4044","127.175666","37.569432","215518.956102","552224.730554"
"8137","1174000000","114","서울특별시","강동구","강일초등학교운동장","1174011000106850000000001","1174011000","1174051500","서울특별시 강동구 강일동 685-0","4011","127.177246","37.565328","215659.398125","551769.496087"
"8138","1174000000","118","서울특별시","강동구","강일중학교 운동장","1174010700104140017000001","1174010700","1174059000","서울특별시 강동구 암사동 414-17","1102","127.138252","37.554972","212216.052697","550614.291449"
"8139","1174000000","20","서울특별시","강동구","천호초등학교 운동장","1174010900102330065012842","1174010900","1174060000","서울특별시 강동구 천호동 224-21","1850","127.136207","37.547060","212036.603093","549735.939226"
"8140","1174000000","13","서울특별시","강동구","천호중학교 운동장","1174010900100380001014084","1174010900","1174060000","서울특별시 강동구 천호동 38-1","2990","127.139965","37.546312","212368.852926","549653.388374"
"8141","1174000000","55","서울특별시","강동구","성덕고등학교 운동장(성덕여자중학교 운동장)","1174010900100230003012286","1174010900","1174060000","서울특별시 강동구 천호동 23-3","5320","127.142262","37.549887","212571.178663","550050.428027"
"8142","1174000000","14","서울특별시","강동구","강동초등학교 운동장","1174010900103060000009023","1174010900","1174061000","서울특별시 강동구 천호동 306","7452","127.129970","37.545920","211485.580067","549608.638476"
"8143","1174000000","21","서울특별시","강동구","동신중학교 운동장","1174010900104470009000001","1174010900","1174062000","서울특별시 강동구 천호동 447-9","1500","127.133986","37.536465","211842.000411","548559.709066"
"8144","1174000000","31","서울특별시","강동구","성내중학교 운동장","1174010800105300000006981","1174010800","1174064000","서울특별시 강동구 성내동 530-0","5162","127.129545","37.528504","211450.680907","547675.646849"
